,year,dirpop_vote_vdem,v2exfemhos,v2exfemhog,v2xpas_democracy,v2xpas_democracy_government,v2xpas_democracy_opposition,goveffective_vdem_wbgi,corruption_cpi,wom_hog_vdem,wom_hos_vdem,held_national_election,regime_row_owid,regime_amb_row_owid,regime_redux_row_owid,wom_hoe_vdem,v2exfemhoe,wom_hoe_ever,wom_hoe_ever_dem,num_years_in_electdem_consecutive,num_years_in_libdem_consecutive,num_years_in_electdem,num_years_in_libdem,percentage_of_no_education,percentage_of_primary_education,percentage_of_complete_primary_education_attained,percentage_of_secondary_education,percentage_of_complete_secondary_education_attained,percentage_of_tertiary_education,percentage_of_complete_tertiary_education_attained,average_years_of_education,average_years_of_primary_education,average_years_of_secondary_education,average_years_of_tertiary_education,primary_enrollment_rates,secondary_enrollment_rates,tertiary_enrollment_rates,percentage_of_no_education_z,percentage_of_primary_education_z,edu_ineq_index
count,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0,14322.0
mean,2002.9988828375924,0.09069718289435111,0.06961318251640833,0.0514777531200884,0.5544978307447618,0.43847060505019997,0.2558110713454089,-0.29703801233406085,44.561471843240334,0.046004223965566936,0.06856584275939115,0.2662337662337662,1.5416821818943687,4.522972421054619,1.3281348776821518,0.04740763494973713,0.04838413421051707,0.43304756425372853,0.4326662602014672,15.789993895940357,10.763531578723239,20.384701724957267,12.990081656393505,3.994909499814524e+95,-1.5829406657505805e+95,2.4157677159018238e+95,-2.3896730664168248e+95,6.617669960081789e+94,2.0508728774610115e+91,3.210155656862174e+92,-1.0182836297947293e+90,-2.6169066248800958e+90,4.635278391217802e+87,3.38557936422538e+90,98.05665738038793,48.32366475213659,29.31858241566372,-3.572062349862255e-17,1.1013858912075286e-16,-1.5875832666054466e-17
std,9.280362583351593,0.1182191737804761,0.254502868095438,0.31520184404888857,0.6121716071181612,0.4614237611606109,0.40443965856624503,1.0865424753094595,10.189831632109914,0.23356942455587545,0.25272322305412775,0.44200338119943816,1.115073800416856,3.498484744032169,1.21978943999416,0.21251214985191888,0.2145912703818047,3.1840644728725915,2.9205412688186763,30.17912221531406,31.563131290114995,31.71488300659716,42.78330342953251,3.077628766311285e+98,1.2194778701505295e+98,1.861077507645878e+98,1.8409745130960208e+98,5.098170918777342e+97,1.5799670465960628e+94,2.4730641318264118e+95,7.844730879289639e+92,2.0160324302281847e+93,3.570961022954528e+90,2.6082083818089575e+93,300.07115911198866,679.3925615580964,435.36296905764146,1.000034913153541,1.0000349131535413,1.3924798802173564
min,1990.0,-0.014019661029114533,0.0,-5.9955384604630355,-3.433801183886493,-4.446743535870728,-3.501954976818037,-6.193038955826262,-11.05607022490657,-3.126094085780802,0.0,0.0,-30.461765856961936,-132.58017418032787,-79.70688912521767,0.0,-0.042429836974547865,-48.638895915128955,-102.35797147697735,-224.21520570956167,-221.23980027087876,-153.40615270790826,-1159.3123900654332,-2.1628179901266528e+99,-5.948843745123424e+98,-1.3078809109849133e+99,-8.980621940938588e+98,-3.582763425066353e+98,-1.1103292215067113e+95,-1.7379573695179592e+96,-3.826808125488242e+93,-9.834587577262767e+93,-2.5095095376185823e+91,-1.8329306224079184e+94,-1625.9650254252333,-3855.636300554706,-2496.892959512724,-0.8805321165465038,-2.6248201292886515,-4.395116610401692
25%,1995.0,0.0,0.0,0.0,0.5643677614260071,0.4282564641292719,0.2480450231819628,-0.5799999833106995,44.86580477509343,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000953674316,-2.8909559258812203e+95,8.899999618530273,-4.364307305858924e+95,8.800000190734863,2.5,1.2000000476837158,-1.8597115845676498e+90,-4.7793084594621625e+90,1.2999999523162842,0.07999999821186066,101.40997457476678,47.01994944529401,30.15391548727639,-0.29331521574715813,0.009537439957758699,-0.2785405297244933
50%,2002.0,0.032999999821186066,0.0,0.0,0.5661988161135071,0.4282564641292719,0.2480450231819628,-0.4430389558262626,44.94392977509343,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,40.79999923706055,12.5,26.5,19.5,36.14999961853027,17.5,10.100000381469727,4.309999942779541,3.0199999809265137,4.179999828338623,0.550000011920929,102.03497457476678,48.36369944529401,31.10704048727639,-0.29331521574715813,0.009537439957758699,0.28377777578939944
75%,2010.0,0.15000000596046448,0.0,0.004461539536964543,0.5661988161135071,0.4291719914730219,0.2487774450569628,0.030749999452382326,44.94392977509343,0.0,0.0,1.0,2.0,7.0,2.0,0.0,0.0,1.0,0.0,20.0,0.0,28.0,0.0,7.295982434295308e+95,41.0,4.4119644816424356e+95,56.0,1.2085981869417079e+95,3.745549802802784e+91,5.862770930073851e+92,9.84000015258789,5.659999847412109,8.46550083704341e+87,6.183150725312359e+90,102.03497457476678,48.36369944529401,31.10704048727639,-0.29331521574715813,0.009537439957758699,0.28377777578939944
max,2024.0,0.781000018119812,1.0,5.0044615395369645,6.566198816113507,3.803256464129272,2.498045023181963,3.9319610441737374,92.0,1.0,1.0,1.0,7.538234143038064,9.0,12.668110874782329,1.0,1.0,61.361104084871045,53.64202852302265,575.7847942904383,1506.7601997291213,176.0,632.6876099345669,1.501325533199128e+99,8.569937690321583e+98,9.07868815133354e+98,1.2937534376704624e+99,2.486984218745604e+98,7.707378143310894e+94,1.2064074676556446e+96,5.5129212656018845e+93,1.4167762065733962e+94,1.741982340579396e+91,1.2723333893863216e+94,2662.0349745747667,5168.363699445294,3167.107040487276,5.317159334943757,4.975657490103306,3.4989694532077227
