,year,dirpop_vote_vdem,v2exfemhos,v2exfemhog,v2xpas_democracy,v2xpas_democracy_government,v2xpas_democracy_opposition,goveffective_vdem_wbgi,corruption_cpi,wom_hog_vdem,wom_hos_vdem,held_national_election,regime_row_owid,regime_amb_row_owid,regime_redux_row_owid,wom_hoe_vdem,v2exfemhoe,wom_hoe_ever,wom_hoe_ever_dem,num_years_in_electdem_consecutive,num_years_in_libdem_consecutive,num_years_in_electdem,num_years_in_libdem,percentage_of_no_education,percentage_of_primary_education,percentage_of_complete_primary_education_attained,percentage_of_secondary_education,percentage_of_complete_secondary_education_attained,percentage_of_tertiary_education,percentage_of_complete_tertiary_education_attained,average_years_of_education,average_years_of_primary_education,average_years_of_secondary_education,average_years_of_tertiary_education,primary_enrollment_rates,secondary_enrollment_rates,tertiary_enrollment_rates,percentage_of_no_education_z,percentage_of_primary_education_z,edu_ineq_index
wom_hos_vdem,0.01197146912736921,0.0697215021283955,0.9918907924420662,0.0048054995507574,0.132634341513867,-0.1279544179051382,-0.11843735795603343,0.20545392538944113,0.12218145474087294,0.3144556917208478,1.0,0.06973621159264694,0.22637944585685263,0.22728528491108194,0.10942130797914774,0.34642279290337985,0.34183171452079436,0.04796113044325333,0.04038337514483835,0.3217648361641773,0.25585865188355983,0.3433300251939951,0.2070053947338526,-0.11695160612830612,0.11695160612830718,-0.11695160612830696,0.11695160612830674,-0.11695160612830764,-0.11695160612835045,-0.11695160612830378,0.11695160612830857,0.1169516061283078,-0.11695160612851867,-0.11695160612830728,0.10086291052367902,0.10418392137425128,0.10492878548127256,-0.0861506155142413,-0.08334026799765543,0.12172298026071256
held_national_election,0.006098655840796917,0.05482238672066593,0.06739038844081219,0.030762726467392938,-0.00841855262992722,0.022555620294988397,0.024573958894978206,0.0506045998364094,0.030801116788121686,0.05645772682647077,0.06973621159264694,1.0,0.1427547885716378,0.1388645184241494,0.09846256407497324,0.05813825778064417,0.05629549796810799,0.01550241103830717,0.03152430497372293,0.046837499262939626,0.031279880034448856,0.050695738682439706,0.02421787107646079,-0.014473176618137957,0.014473176618138003,-0.01447317661813794,0.014473176618137976,-0.014473176618138083,-0.014473176618150119,-0.01447317661813727,0.0144731766181388,0.014473176618137799,-0.01447317661826635,-0.014473176618138179,0.006751682135374428,0.008678754986325648,0.008328453999176233,-0.0722517034795131,-0.03456357798322087,0.07671134946982736
regime_row_owid,0.08667386330503227,0.2284117234383817,0.2208287801726117,-0.01161077395615533,0.2834616331463425,-0.28051418454984256,-0.22793551694474656,0.46537112581570655,0.28059795775090274,0.12443179984780768,0.22637944585685263,0.1427547885716378,1.0,0.9259754353585956,0.7959715767160572,0.11308081614803929,0.10714814256583359,0.10220624674414705,-0.01828000578327431,0.5129654063265783,0.19033604922683775,0.6315838586438418,0.37503184141448276,-0.24283016876006766,0.24283016876006797,-0.24283016876006672,0.24283016876006883,-0.24283016876006905,-0.2428301687601083,-0.24283016876006483,0.2428301687600675,0.24283016876006744,-0.24283016875993155,-0.2428301687600662,0.21337231749558044,0.2125768062140541,0.21291461425932862,-0.2096513601956782,-0.11941624898954606,0.23632592660643967
regime_amb_row_owid,0.09544933663933554,0.20704961027541807,0.22202218029272192,-0.015464713784570748,0.2744211799880453,-0.2718624130981996,-0.22280527466388778,0.451939370826007,0.27339571382350336,0.11420714237272711,0.22728528491108194,0.1388645184241494,0.9259754353585956,1.0,0.7924580638009737,0.09958787395001845,0.09403624545382482,0.09861336702841193,-0.023073362909297006,0.4729441278643758,0.10711218774152484,0.6309705940675977,0.19199153303867422,-0.23405977675973846,0.23405977675973796,-0.2340597767597382,0.23405977675973874,-0.2340597767597402,-0.2340597767597852,-0.2340597767597353,0.23405977675973874,0.23405977675973927,-0.23405977675970238,-0.23405977675973655,0.20514668542768436,0.20428718855791092,0.20461069992666886,-0.211944159023512,-0.11927853425407577,0.23787363969282746
regime_redux_row_owid,0.06576492235640663,0.13395597201016268,0.10529974100099103,-0.0023982403145205475,0.1606447596229024,-0.153217616789808,-0.12363130569027943,0.2750823886704226,0.17185032285994328,0.08303998256380464,0.10942130797914774,0.09846256407497324,0.7959715767160572,0.7924580638009737,1.0,0.057511300913568104,0.053062217964162474,0.049692086423737104,-0.05087707077555948,0.06584928143951616,-0.08508698106190346,0.3486091598176172,0.3602455961403885,-0.13262891916634395,0.13262891916634384,-0.13262891916634384,0.13262891916634284,-0.13262891916634417,-0.13262891916639769,-0.1326289191663412,0.13262891916634517,0.13262891916634545,-0.13262891916656094,-0.13262891916634395,0.11338893836636964,0.11080877070576418,0.11115026788459213,-0.09543559762324165,-0.0391780603548143,0.09667526237029245
wom_hoe_vdem,0.047047127479267654,0.07188187906732768,0.34308228608698027,0.4024739371429382,0.08857858361059068,-0.09309876060672605,-0.05922185457364957,0.07230492805206701,0.07592605469330158,0.902783952607637,0.34642279290337985,0.05813825778064417,0.11308081614803929,0.09958787395001845,0.057511300913568104,1.0,0.9877857973377233,0.03975828740248942,0.04343118756274983,0.13781457763789706,0.10365131834039691,0.1601620965023031,0.06095553327822608,-0.10611841235974609,0.10611841235974696,-0.10611841235974652,0.10611841235974687,-0.10611841235974702,-0.10611841235974857,-0.10611841235974577,0.10611841235974556,0.10611841235974326,-0.1061184123588834,-0.10611841235974523,0.10359744402658605,0.10230397965285606,0.10350265296123883,-0.012357763041812795,-0.025140692984284393,0.026930202545976254
v2exfemhoe,0.04157834293019162,0.06892718035140652,0.35513478994206615,0.4004627084832818,0.08741402873553364,-0.09220687989258525,-0.05813908909106388,0.06776969151763602,0.07245211903796377,0.8487641944400327,0.34183171452079436,0.05629549796810799,0.10714814256583359,0.09403624545382482,0.053062217964162474,0.9877857973377233,1.0,0.04014858782488676,0.041917727583399324,0.13499321718442508,0.10128073245283295,0.1566394780295196,0.05912010893746373,-0.10403823014467091,0.10403823014467158,-0.10403823014467078,0.10403823014467162,-0.10403823014467148,-0.10403823014467499,-0.1040382301446708,0.1040382301446703,0.10403823014466852,-0.10403823014381341,-0.10403823014467098,0.10199385358076533,0.10081133663356315,0.10196031184109705,-0.011531244310352547,-0.01680312825179859,0.02034884827206838
wom_hoe_ever,0.0010186754891630151,0.044771323752787064,0.048272394338306455,-0.1309793800263859,0.3269323000898541,-0.31260562016775173,-0.3164279676531498,0.1733127306070524,0.3051059552372814,0.033285090435137395,0.04796113044325333,0.01550241103830717,0.10220624674414705,0.09861336702841193,0.049692086423737104,0.03975828740248942,0.04014858782488676,1.0,-0.2668813192878245,0.09385176194861575,0.08644648940681537,0.11540841874286197,0.07252600922287636,-0.3670693734743459,0.36706937347434826,-0.367069373474347,0.3670693734743449,-0.36706937347434804,-0.36706937347435586,-0.36706937347434226,0.36706937347435836,0.3670693734743455,-0.36706937347481927,-0.36706937347434404,0.3493458804913953,0.3569121836839353,0.3547881310355559,-0.01397574075612831,-0.003427902062418816,0.012498744636715485
wom_hoe_ever_dem,-0.05830753862309861,0.004800959050417666,0.039585235178629885,0.009391027229257757,-0.16366186659469337,0.1672032346646503,0.17247522134146254,-0.054694232927450084,-0.1376640967112794,0.03155466845368732,0.04038337514483835,0.03152430497372293,-0.01828000578327431,-0.023073362909297006,-0.05087707077555948,0.04343118756274983,0.041917727583399324,-0.2668813192878245,1.0,0.01886961375055987,0.04117849226828605,0.003870090863510319,-0.013020680355763174,0.1903693773171246,-0.190369377317125,0.19036937731712414,-0.1903693773171247,0.1903693773171258,0.19036937731698855,0.19036937731713074,-0.1903693773171237,-0.19036937731712505,0.1903693773150978,0.19036937731712592,-0.1913264678064983,-0.19192569666803294,-0.1969732218316097,0.004921847529586801,0.0027008772666696425,-0.005474399334536723
num_years_in_electdem_consecutive,0.11601972864570317,0.25808761019190646,0.3183070706807877,-0.004460551260590341,0.315983815527626,-0.3188321748306764,-0.28427507579827244,0.4650773629609675,0.29139361229912264,0.12347404995202017,0.3217648361641773,0.046837499262939626,0.5129654063265783,0.4729441278643758,0.06584928143951616,0.13781457763789706,0.13499321718442508,0.09385176194861575,0.01886961375055987,1.0,0.5885729240960782,0.8589343018251624,0.36253575262529075,-0.29871279593719263,0.2987127959371935,-0.29871279593719335,0.2987127959371938,-0.2987127959371933,-0.2987127959372029,-0.29871279593719313,0.2987127959371949,0.2987127959371908,-0.2987127959373594,-0.29871279593719235,0.27013765796016526,0.2745510101372342,0.2747065334844706,-0.2154289412808057,-0.1822424430777861,0.2855949834324488
